	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
0	2011-12	19	CLE	NBA	PG	51	51	30.5	6.9	14.6	.469	1.4	3.6	.399	5.4	11.1	.491	.517	3.4	3.8	.872	0.9	2.9	3.7	5.4	1.1	0.4	3.1	2.2	18.5	Kyrie Irving
1	2012-13	20	CLE	NBA	PG	59	59	34.7	8.2	18.1	.452	1.8	4.7	.391	6.4	13.4	.474	.503	4.2	4.9	.855	0.6	3.1	3.7	5.9	1.5	0.4	3.2	2.5	22.5	Kyrie Irving
2	2013-14	21	CLE	NBA	PG	71	71	35.2	7.5	17.4	.430	1.7	4.8	.358	5.8	12.6	.458	.480	4.1	4.8	.861	0.7	2.9	3.6	6.1	1.5	0.3	2.7	2.3	20.8	Kyrie Irving
3	2014-15	22	CLE	NBA	PG	75	75	36.4	7.7	16.5	.468	2.1	5.0	.415	5.6	11.4	.491	.532	4.2	4.9	.863	0.7	2.4	3.2	5.2	1.5	0.3	2.5	1.9	21.7	Kyrie Irving
4	2015-16	23	CLE	NBA	PG	53	53	31.5	7.4	16.6	.448	1.6	4.9	.321	5.8	11.6	.502	.496	3.2	3.6	.885	0.8	2.1	3.0	4.7	1.1	0.3	2.3	2.0	19.6	Kyrie Irving
5	2016-17	24	CLE	NBA	PG	72	72	35.1	9.3	19.7	.473	2.5	6.1	.401	6.9	13.6	.505	.535	4.1	4.6	.905	0.7	2.5	3.2	5.8	1.2	0.3	2.5	2.2	25.2	Kyrie Irving
6	2017-18	25	BOS	NBA	PG	60	60	32.2	8.9	18.1	.491	2.8	6.8	.408	6.1	11.3	.541	.568	3.9	4.4	.889	0.6	3.2	3.8	5.1	1.1	0.3	2.3	2.0	24.4	Kyrie Irving
7	2018-19	26	BOS	NBA	PG	10	10	31.6	7.3	15.2	.480	2.5	6.1	.410	4.8	9.1	.527	.563	2.1	2.6	.808	0.8	4.0	4.8	5.3	1.0	0.7	2.4	2.0	19.2	Kyrie Irving
8	2011-12	22	HOU	NBA	PF	17	0	7.4	0.9	3.2	.296	0.1	1.0	.118	0.8	2.2	.378	.315	0.4	0.5	.750	0.3	0.6	0.9	0.2	0.1	0.1	0.2	0.7	2.4	Marcus Morris
9	2012-13	23	TOT	NBA	PF-SF	77	23	19.8	2.9	6.8	.422	1.1	3.0	.369	1.8	3.8	.464	.504	0.9	1.5	.564	1.0	2.6	3.6	0.8	0.6	0.3	1.0	2.1	7.7	Marcus Morris
