	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
0	2011-12	21	GSW	NBA	SG	66	29	24.4	4.8	10.9	.443	1.7	4.1	.414	3.1	6.8	.460	.520	1.2	1.4	.868	0.4	2.1	2.4	2.0	0.7	0.3	1.6	2.3	12.5	Klay Thompson
1	2012-13	22	GSW	NBA	SG	82	82	35.8	6.2	14.7	.422	2.6	6.4	.401	3.6	8.3	.437	.509	1.6	1.9	.841	0.4	3.3	3.7	2.2	1.0	0.5	1.9	2.9	16.6	Klay Thompson
2	2013-14	23	GSW	NBA	SG	81	81	35.4	6.9	15.5	.444	2.8	6.6	.417	4.1	8.9	.464	.533	1.8	2.3	.795	0.5	2.6	3.1	2.2	0.9	0.5	1.7	2.9	18.4	Klay Thompson
3	2014-15	24	GSW	NBA	SG	77	77	31.9	7.8	16.9	.463	3.1	7.1	.439	4.7	9.8	.481	.555	2.9	3.3	.879	0.4	2.9	3.2	2.9	1.1	0.8	1.9	1.6	21.7	Klay Thompson
4	2015-16	25	GSW	NBA	SG	80	80	33.3	8.1	17.3	.470	3.5	8.1	.425	4.7	9.2	.510	.569	2.4	2.8	.873	0.4	3.4	3.8	2.1	0.8	0.6	1.7	1.9	22.1	Klay Thompson
5	2016-17	26	GSW	NBA	SG	78	78	34.0	8.3	17.6	.468	3.4	8.3	.414	4.8	9.3	.516	.565	2.4	2.8	.853	0.6	3.0	3.7	2.1	0.8	0.5	1.6	1.8	22.3	Klay Thompson
6	2017-18	27	GSW	NBA	SG	73	73	34.3	7.9	16.2	.488	3.1	7.1	.440	4.7	9.0	.526	.585	1.1	1.3	.837	0.4	3.4	3.8	2.5	0.8	0.5	1.8	1.6	20.0	Klay Thompson
7	2018-19	28	GSW	NBA	SG	11	11	33.0	8.1	17.7	.456	2.5	7.3	.338	5.6	10.5	.539	.526	1.8	2.1	.870	0.5	3.5	3.9	1.5	0.7	0.5	1.7	2.1	20.5	Klay Thompson
8	2012-13	22	GSW	NBA	SF	79	1	13.4	1.1	3.3	.327	0.2	0.8	.209	0.9	2.4	.368	.354	0.6	0.7	.818	0.7	2.6	3.3	0.7	0.5	0.3	0.6	2.0	2.9	Draymond Green
9	2013-14	23	GSW	NBA	SF	82	12	21.9	2.3	5.6	.407	0.7	2.0	.333	1.6	3.6	.449	.467	1.0	1.5	.667	1.0	3.9	5.0	1.9	1.2	0.9	1.1	2.8	6.2	Draymond Green
