	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
0	2016-17	19	LAL	NBA	C	38	11	16.0	3.3	6.3	.529	0.0	0.1	.000	3.3	6.2	.536	.529	0.8	1.3	.653	1.1	3.1	4.2	0.8	0.4	0.9	0.8	1.7	7.5	Ivica Zubac
1	2017-18	20	LAL	NBA	C	43	0	9.5	1.4	2.8	.500	0.0	0.0	.000	1.4	2.8	.504	.500	0.9	1.2	.765	1.0	1.8	2.9	0.6	0.2	0.3	0.6	1.1	3.7	Ivica Zubac
2	2018-19	21	LAL	NBA	C	4	0	9.5	1.3	2.5	.500	0.0	0.0		1.3	2.5	.500	.500	1.0	1.0	1.000	2.0	2.3	4.3	0.5	0.3	0.3	0.8	3.0	3.5	Ivica Zubac
3	2016-17	19	LAL	NBA	SF	79	40	28.8	3.5	8.7	.402	0.7	2.4	.294	2.8	6.3	.443	.442	1.7	2.7	.621	0.8	3.2	4.0	2.1	0.6	0.5	1.5	2.0	9.4	Brandon Ingram
4	2017-18	20	LAL	NBA	SF	59	59	33.5	6.1	12.9	.470	0.7	1.8	.390	5.4	11.1	.483	.497	3.3	4.8	.681	1.0	4.4	5.3	3.9	0.8	0.7	2.5	2.8	16.1	Brandon Ingram
5	2018-19	21	LAL	NBA	SG	6	6	30.0	6.2	13.0	.474	0.7	2.0	.333	5.5	11.0	.500	.500	2.5	3.8	.652	1.0	2.8	3.8	1.2	0.8	1.0	2.5	3.0	15.5	Brandon Ingram
6	2017-18	20	LAL	NBA	PG	52	50	34.2	3.9	10.8	.360	1.7	5.7	.305	2.2	5.2	.420	.440	0.6	1.4	.451	1.3	5.6	6.9	7.2	1.7	0.8	2.6	2.3	10.2	Lonzo Ball
7	2018-19	21	LAL	NBA	PG	10	8	26.6	3.6	7.8	.462	1.9	4.6	.413	1.7	3.2	.531	.583	0.5	0.9	.556	0.8	4.0	4.8	4.3	1.1	0.0	1.5	1.9	9.6	Lonzo Ball
8	2017-18	22	LAL	NBA	PF	77	37	31.2	6.1	13.5	.450	2.1	5.6	.366	4.0	7.9	.511	.527	1.9	2.7	.707	1.1	5.1	6.3	1.8	0.6	0.4	1.8	2.1	16.1	Kyle Kuzma
9	2018-19	23	LAL	NBA	SF	10	8	31.7	7.6	15.5	.490	1.5	5.4	.278	6.1	10.1	.604	.539	2.3	3.0	.767	0.6	4.5	5.1	1.6	0.2	0.7	1.1	2.7	19.0	Kyle Kuzma
10	2017-18	22	LAL	NBA	SG	63	23	23.2	2.8	6.0	.469	1.2	3.1	.396	1.6	2.8	.551	.573	1.0	1.5	.702	0.7	3.5	4.2	1.3	0.7	0.3	0.7	1.7	7.9	Josh Hart
11	2018-19	23	LAL	NBA	SG	10	3	28.7	3.9	8.6	.453	2.0	4.8	.417	1.9	3.8	.500	.570	1.4	2.2	.636	0.3	3.6	3.9	1.3	1.8	0.5	1.1	2.6	11.2	Josh Hart
